"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","250030008","1","7.1","ug/m3 LC","30","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/04/2021","AQS","250030008","1","11.1","ug/m3 LC","46","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/07/2021","AQS","250030008","1","6.9","ug/m3 LC","29","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/10/2021","AQS","250030008","1","6.2","ug/m3 LC","26","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/13/2021","AQS","250030008","1","14.3","ug/m3 LC","56","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/16/2021","AQS","250030008","1","2.8","ug/m3 LC","12","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/19/2021","AQS","250030008","1","4.8","ug/m3 LC","20","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/22/2021","AQS","250030008","1","8.4","ug/m3 LC","35","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/25/2021","AQS","250030008","1","5.1","ug/m3 LC","21","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/28/2021","AQS","250030008","1","4.7","ug/m3 LC","20","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/31/2021","AQS","250030008","1","7.6","ug/m3 LC","32","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/01/2021","AQS","250030008","3","7.4","ug/m3 LC","31","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/02/2021","AQS","250030008","3","5.9","ug/m3 LC","25","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/03/2021","AQS","250030008","3","6.1","ug/m3 LC","25","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/04/2021","AQS","250030008","3","7.7","ug/m3 LC","32","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/05/2021","AQS","250030008","3","7.8","ug/m3 LC","33","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/06/2021","AQS","250030008","3","6.2","ug/m3 LC","26","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/07/2021","AQS","250030008","3","6.3","ug/m3 LC","26","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/08/2021","AQS","250030008","3","6.5","ug/m3 LC","27","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/09/2021","AQS","250030008","3","6","ug/m3 LC","25","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/10/2021","AQS","250030008","3","9.3","ug/m3 LC","39","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/11/2021","AQS","250030008","3","13.7","ug/m3 LC","54","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/12/2021","AQS","250030008","3","13","ug/m3 LC","53","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/13/2021","AQS","250030008","3","13.9","ug/m3 LC","55","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/14/2021","AQS","250030008","3","23.1","ug/m3 LC","74","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/15/2021","AQS","250030008","3","16.1","ug/m3 LC","59","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/16/2021","AQS","250030008","3","4.5","ug/m3 LC","19","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/17/2021","AQS","250030008","3","5.7","ug/m3 LC","24","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/18/2021","AQS","250030008","3","5.6","ug/m3 LC","23","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/19/2021","AQS","250030008","3","6.6","ug/m3 LC","28","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/20/2021","AQS","250030008","3","6.8","ug/m3 LC","28","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/21/2021","AQS","250030008","3","11.1","ug/m3 LC","46","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/22/2021","AQS","250030008","3","13","ug/m3 LC","53","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/23/2021","AQS","250030008","3","4.7","ug/m3 LC","20","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/24/2021","AQS","250030008","3","5.2","ug/m3 LC","22","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/25/2021","AQS","250030008","3","7.5","ug/m3 LC","31","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/26/2021","AQS","250030008","3","8.5","ug/m3 LC","35","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/27/2021","AQS","250030008","3","8","ug/m3 LC","33","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/28/2021","AQS","250030008","3","6.1","ug/m3 LC","25","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/29/2021","AQS","250030008","3","5","ug/m3 LC","21","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/30/2021","AQS","250030008","3","6.4","ug/m3 LC","27","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"01/31/2021","AQS","250030008","3","9.5","ug/m3 LC","40","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"02/01/2021","AirNow","250030008","3","6.7","ug/m3 LC","28","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"02/02/2021","AirNow","250030008","3","4.5","ug/m3 LC","19","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"02/03/2021","AirNow","250030008","3","4.9","ug/m3 LC","20","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"02/04/2021","AirNow","250030008","3","8.6","ug/m3 LC","36","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"02/05/2021","AirNow","250030008","3","14.6","ug/m3 LC","56","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"02/06/2021","AirNow","250030008","3","8.1","ug/m3 LC","34","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"02/07/2021","AirNow","250030008","3","11.1","ug/m3 LC","46","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
"02/08/2021","AirNow","250030008","3","8.9","ug/m3 LC","37","","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4522993070341","-73.2396482491513"
